,Unnamed: 0,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline
2222,2221,43949,Flipped,2010-08-06,"['Romance', 'Drama']",English,8.0,2589.0,30.021,"When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider.",14000000.0,['Reiner / Greisman Productions'],1755212.0,89.0,You never forget your first love.
2223,2222,9072,Little Man,2006-08-31,"['Comedy', 'Crime']",English,5.9,1499.0,30.02,"After leaving the prison, the dwarf criminal Calvin Sims joins to his moron brother Percy to steal an expensive huge diamond in a jewelry for the mobster Walken. They are chased by the police, and Calvin hides the stone in the purse of the executive Vanessa Edwards, whose husband Darryl Edwards wants to have a baby. Percy convinces Calvin to dress like a baby and be left in front of the Edwards's house to get inside the house and retrieve the diamond. Darryl and Vanessa keep Calvin for the weekend and decide to adopt him, while Walken threatens Darryl to get the stone back.",64000000.0,"['Wayans Bros. Entertainment', 'Revolution Studios']",101595121.0,98.0,Big things come in small packages
2224,2223,354556,Guardians,2017-02-14,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Science Fiction', 'Thriller']",Russian,4.9,677.0,30.018,"During the Cold War, an organization called ""Patriot"" created a super-hero squad, which includes members of multiple soviet republics. For years, the heroes had to hide their identities, but in hard times they must show themselves again.",5400000.0,"['Renovatio Entertainment', 'Enjoy Movies', 'Big Cinema House']",4803565.0,100.0,Squad of Soviet Superheroes
2225,2224,7553,Waiting...,2005-10-07,['Comedy'],English,6.3,689.0,30.016,"Employees at a Bennigan's-like restaurant (called, creatively enough, Shenanigan's), kill time before their real lives get started. But while they wait, they'll have to deal with picky customers who want their steak cooked to order and enthusiastic managers who want to build the perfect wait staff. Luckily, these employees have effective revenge tactics.",3000000.0,"['LIFT Productions', 'Eden Rock Media']",18637690.0,94.0,What happens in the kitchen ends up on the plate.
2226,2225,399402,Hunter Killer,2018-10-19,"['Action', 'Thriller']",English,6.8,1895.0,30.01,"Captain Glass of the USS Arkansas discovers that a coup d'état is taking place in Russia, so he and his crew join an elite group working on the ground to prevent a war.",40000000.0,"['Original Film', 'G-BASE', 'Millennium Media', 'Hunter Killer Productions', 'Hishow Entertainment', 'SprocketHeads', 'Tucker Tooley Entertainment', 'Summit Premiere', 'Lionsgate', 'Davis Films']",31672678.0,121.0,Courage runs deep
2227,2226,10483,Death Race,2008-08-22,"['Action', 'Thriller', 'Science Fiction']",English,6.2,3390.0,30.007,"Terminal Island, New York: 2020. Overcrowding in the US penal system has reached a breaking point. Prisons have been turned over to a monolithic Weyland Corporation, which sees jails full of thugs as an opportunity for televised sport. Adrenalized inmates, a global audience hungry for violence and a spectacular, enclosed arena come together to form the 'Death Race', the biggest, most brutal event.",45000000.0,"['Impact Pictures', 'Universal Pictures', 'Relativity Media', 'Cruise/Wagner Productions', 'H2S2 Filmproduktionsgesellschaft', 'Scion Films']",76014335.0,105.0,Get ready for a killer race.
2228,2227,406997,Wonder,2017-11-13,"['Drama', 'Family']",English,8.2,7313.0,30.006,"The story of August Pullman – a boy with facial differences – who enters fifth grade, attending a mainstream elementary school for the first time.",20000000.0,"['Lionsgate', 'Participant', 'Walden Media', 'Mandeville Films']",305937718.0,113.0,Who gives you the courage to face the world?
2230,2229,2164,Stargate,1994-10-28,"['Action', 'Adventure', 'Science Fiction']",English,7.0,2973.0,30.0,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",55000000.0,"['Carolco Pictures', 'Centropolis Entertainment', 'Canal+']",196567262.0,121.0,It will take you a million light years from home. But will it bring you back?
2234,2233,614930,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023-07-31,"['Comedy', 'Animation', 'Family', 'Action', 'Adventure', 'Science Fiction']",English,0.0,0.0,29.969,"After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.",0.0,"['Paramount', 'Nickelodeon Movies', 'Point Grey Pictures']",0.0,0.0,A new generation of heroes will rise... straight from the sewers.
2236,2235,274857,King Arthur: Legend of the Sword,2017-05-10,"['Action', 'Drama', 'Fantasy']",English,6.5,5240.0,29.961,"When the child Arthur’s father is murdered, Vortigern, Arthur’s uncle, seizes the crown. Robbed of his birthright and with no idea who he truly is, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword Excalibur from the stone, his life is turned upside down and he is forced to acknowledge his true legacy... whether he likes it or not.",175000000.0,"['Village Roadshow Pictures', 'Weed Road Pictures', 'Wigram Productions', 'Safehouse Pictures', 'Warner Bros. Pictures']",148675066.0,126.0,From nothing comes a King
